1990	1995	2000	2005	2011
피용자보수	49.7	52.8	50.0	53.5	52.6
기업및재산소득	37.8	34.9	36.5	33.9	35.2
법인(금융기관포함)_1		9.4	9.2	6.9	11.6	16.2
일반정부_1		0.8	0.8	1.5	1.0	0.8
가계및비영리단체_1	27.5	24.9	28.0	21.3	18.2
생산및수입세(공제)보조금	12.1	12.3	13.6	13.0	12.7
순수취경상이전	0.4	0.1	0.0	-0.4	-0.5
법인(금융기관포함)_2		-3.6	-3.8	-4.2	-5.5	-5.0
일반정부_2		7.7	8.1	10.1	11.3	10.9
가계및비영리단체_2	-3.8	-4.3	-6.0	-6.3	-6.4
국민처분가능소득		100.0	100.0	100.0	100.0	100.0
법인(금융기관포함)_3	5.9	5.4	2.7	6.1	11.2
일반정부_3		20.7	21.2	25.2	25.3	24.4
가계및비영리단체_3	73.5	73.4	72.0	68.6	64.4
